Filename,Sign_Type,MUTCD_Code,Legend_Ra,Background_Ra,Target_Contrast,Actual_Reflectivity,Actual_Contrast,Safety_Status,Variation_Type,MUTCD_Compliant,Delta_R,Delta_C,Latitude,Longitude,Age_Years,Sheeting_Type,Generated_Time
arrow_001_safe.png,ARROW,M6-3-21-W,419.894,589.031,9.1247,0.5301,0.1566,SAFE,SAFE_TARGET,YES,503.9323,8.9681,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:12:35
arrow_002_safe.png,ARROW,M6-3-21-W,163.808,513.363,9.6127,0.5302,0.1532,SAFE,SAFE_TARGET,YES,338.0552,9.4595,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:12:36
arrow_003_safe.png,ARROW,M6-3-21-W,284.847,720.302,8.8063,0.5301,0.1554,SAFE,SAFE_TARGET,YES,502.0442,8.6509,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:12:36
arrow_004_unsafe.png,ARROW,M6-3-21-W,207.336,5.568,6.5225,0.5304,0.1498,UNSAFE,UNSAFE_BACKGROUND_FAIL,NO,105.9217,6.3728,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:12:36
arrow_005_safe.png,ARROW,M6-3-21-W,350.539,826.138,9.9809,0.5301,0.1573,SAFE,SAFE_TARGET,YES,587.8082,9.8236,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:12:36
arrow_006_unsafe.png,ARROW,M6-3-21-W,23.112,489.467,0.545,0.5305,0.1472,UNSAFE,UNSAFE_CONTRAST_FAIL,NO,255.7593,0.3978,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:12:36
arrow_007_unsafe.png,ARROW,M6-3-21-W,406.03,36.575,1.4195,0.5303,0.1503,UNSAFE,UNSAFE_MULTIPLE_FAIL,NO,220.7722,1.2692,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:12:36
arrow_008_safe.png,ARROW,M6-3-21-W,413.142,772.028,9.8602,0.5301,0.1577,SAFE,SAFE_TARGET,YES,592.0547,9.7025,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:12:36
arrow_009_unsafe.png,ARROW,M6-3-21-W,127.814,393.21,0.8185,0.5304,0.148,UNSAFE,UNSAFE_CONTRAST_FAIL,NO,259.9814,0.6705,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:12:36
arrow_010_safe.png,ARROW,M6-3-21-W,173.603,656.229,9.6528,0.5302,0.1541,SAFE,SAFE_TARGET,YES,414.386,9.4987,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:12:36
