Filename,Sign_Type,MUTCD_Code,Legend_Ra,Background_Ra,Target_Contrast,Actual_Reflectivity,Actual_Contrast,Safety_Status,Variation_Type,MUTCD_Compliant,Delta_R,Delta_C,Latitude,Longitude,Age_Years,Sheeting_Type,Generated_Time
arrow_001_safe.png,ARROW,M6-3-21-W,419.894,589.031,9.1247,0.5301,0.1566,SAFE,SAFE_TARGET,YES,503.9323,8.9681,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:12:35
arrow_002_safe.png,ARROW,M6-3-21-W,163.808,513.363,9.6127,0.5302,0.1532,SAFE,SAFE_TARGET,YES,338.0552,9.4595,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:12:36
arrow_003_safe.png,ARROW,M6-3-21-W,284.847,720.302,8.8063,0.5301,0.1554,SAFE,SAFE_TARGET,YES,502.0442,8.6509,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:12:36
arrow_005_safe.png,ARROW,M6-3-21-W,350.539,826.138,9.9809,0.5301,0.1573,SAFE,SAFE_TARGET,YES,587.8082,9.8236,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:12:36
arrow_008_safe.png,ARROW,M6-3-21-W,413.142,772.028,9.8602,0.5301,0.1577,SAFE,SAFE_TARGET,YES,592.0547,9.7025,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:12:36
arrow_010_safe.png,ARROW,M6-3-21-W,173.603,656.229,9.6528,0.5302,0.1541,SAFE,SAFE_TARGET,YES,414.386,9.4987,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:12:36
arrow_011_safe.png,ARROW,M6-3-21-W,357.425,796.518,9.0728,0.5301,0.1568,SAFE,SAFE_TARGET,YES,576.4413,8.916,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:12:36
arrow_015_safe.png,ARROW,M6-3-21-W,218.379,833.575,8.4896,0.5301,0.155,SAFE,SAFE_TARGET,YES,525.4464,8.3346,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:12:36
arrow_016_safe.png,ARROW,M6-3-21-W,312.373,536.026,7.5527,0.5302,0.1542,SAFE,SAFE_TARGET,YES,423.6692,7.3985,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:12:36
arrow_018_safe.png,ARROW,M6-3-21-W,275.564,794.239,8.2437,0.5301,0.1554,SAFE,SAFE_TARGET,YES,534.3712,8.0883,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:12:36
