Filename,Sign_Type,MUTCD_Code,Legend_Ra,Background_Ra,Target_Contrast,Actual_Reflectivity,Actual_Contrast,Safety_Status,Variation_Type,MUTCD_Compliant,Delta_R,Delta_C,Latitude,Longitude,Age_Years,Sheeting_Type,Generated_Time
stop_855_safe.png,STOP,R1-1-36,607.135,241.941,13.4855,0.4557,0.2944,SAFE,SAFE_TARGET,YES,0.1503,0.3799,33.5156857,-80.8648867,1.8,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:10:55
yield_371_safe.png,YIELD,R1-2-36,86.1,434.1,4.7439,0.5831,0.3962,SAFE,SAFE_TARGET,YES,0.323,4.3476,33.5163605,-80.8658667,6.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:09:01
yield_1591_safe.png,YIELD,R1-2-36,112.1,539.6,5.8246,0.5724,0.4061,SAFE,SAFE_TARGET,YES,0.2466,5.4185,33.5163605,-80.8658667,6.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:09:08
arrow_309_safe.png,ARROW,M6-3-21-W,278.889,788.909,9.4906,0.5301,0.156,SAFE,SAFE_TARGET,YES,533.3688,9.3347,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:12:39
arrow_2840_safe.png,ARROW,M6-3-21-W,245.059,672.885,7.4741,0.5302,0.154,SAFE,SAFE_TARGET,YES,458.4419,7.3201,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:13:09
arrow_425_safe.png,ARROW,M6-3-21-W,250.502,570.723,9.4161,0.5302,0.1545,SAFE,SAFE_TARGET,YES,410.0824,9.2616,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:12:40
stop_2834_safe.png,STOP,R1-1-36,502.863,385.369,19.5787,0.4513,0.2964,SAFE,SAFE_TARGET,YES,0.2818,0.6825,33.5156857,-80.8648867,1.8,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:11:10
yield_1967_safe.png,YIELD,R1-2-36,83.8,426.1,5.5311,0.5752,0.4036,SAFE,SAFE_TARGET,YES,0.3202,5.1274,33.5163605,-80.8658667,6.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:09:11
arrow_1767_safe.png,ARROW,M6-3-21-W,226.725,777.192,8.4742,0.5301,0.1548,SAFE,SAFE_TARGET,YES,501.4283,8.3194,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:12:56
arrow_835_safe.png,ARROW,M6-3-21-W,400.99,628.689,9.3509,0.5301,0.1566,SAFE,SAFE_TARGET,YES,514.3096,9.1943,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:12:45
arrow_1507_safe.png,ARROW,M6-3-21-W,291.596,667.708,8.8042,0.5301,0.1552,SAFE,SAFE_TARGET,YES,479.1223,8.649,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:12:53
stop_949_safe.png,STOP,R1-1-36,732.399,353.424,19.7373,0.4498,0.2972,SAFE,SAFE_TARGET,YES,0.3582,0.6897,33.5156857,-80.8648867,1.8,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:10:56
yield_917_safe.png,YIELD,R1-2-36,95.5,391.1,4.7842,0.5827,0.3966,SAFE,SAFE_TARGET,YES,0.3394,4.3875,33.5163605,-80.8658667,6.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:09:04
arrow_2793_safe.png,ARROW,M6-3-21-W,330.589,634.594,8.4781,0.5301,0.1554,SAFE,SAFE_TARGET,YES,482.061,8.3227,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:13:08
arrow_2070_safe.png,ARROW,M6-3-21-W,367.414,680.371,9.7415,0.5301,0.1566,SAFE,SAFE_TARGET,YES,523.3626,9.5849,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:13:00
arrow_632_safe.png,ARROW,M6-3-21-W,179.71,816.028,7.4947,0.5302,0.154,SAFE,SAFE_TARGET,YES,497.339,7.3407,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:12:43
arrow_2149_safe.png,ARROW,M6-3-21-W,441.256,782.275,7.6011,0.5301,0.1571,SAFE,SAFE_TARGET,YES,611.2355,7.444,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:13:01
yield_1764_safe.png,YIELD,R1-2-36,106.0,411.0,5.4661,0.5758,0.4031,SAFE,SAFE_TARGET,YES,0.3172,5.0631,33.5163605,-80.8658667,6.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:09:10
arrow_2586_safe.png,ARROW,M6-3-21-W,403.329,720.442,9.8665,0.5301,0.1573,SAFE,SAFE_TARGET,YES,561.3554,9.7092,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:13:06
stop_2291_safe.png,STOP,R1-1-36,698.133,367.504,18.3064,0.4504,0.2969,SAFE,SAFE_TARGET,YES,0.3581,0.6184,33.5156857,-80.8648867,1.8,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:11:06
stop_617_safe.png,STOP,R1-1-36,544.904,358.105,15.7214,0.4531,0.2956,SAFE,SAFE_TARGET,YES,0.267,0.4904,33.5156857,-80.8648867,1.8,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:10:53
yield_584_safe.png,YIELD,R1-2-36,96.7,460.3,4.5411,0.5853,0.3941,SAFE,SAFE_TARGET,YES,0.3068,4.147,33.5163605,-80.8658667,6.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:09:02
stop_1587_safe.png,STOP,R1-1-36,493.349,311.734,16.2921,0.4542,0.2951,SAFE,SAFE_TARGET,YES,0.1821,0.5195,33.5156857,-80.8648867,1.8,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:11:00
arrow_2613_safe.png,ARROW,M6-3-21-W,318.404,692.528,7.1733,0.5301,0.1549,SAFE,SAFE_TARGET,YES,504.9355,7.0184,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:13:06
stop_810_safe.png,STOP,R1-1-36,599.14,291.409,15.458,0.454,0.2952,SAFE,SAFE_TARGET,YES,0.2099,0.4777,33.5156857,-80.8648867,1.8,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:10:55
yield_2596_safe.png,YIELD,R1-2-36,88.3,583.0,4.5388,0.5854,0.3941,SAFE,SAFE_TARGET,YES,0.2497,4.1447,33.5163605,-80.8658667,6.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:09:15
arrow_1955_safe.png,ARROW,M6-3-21-W,353.864,704.968,7.1627,0.5301,0.1554,SAFE,SAFE_TARGET,YES,528.8857,7.0073,33.5156198,-80.8647048,3.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:12:58
yield_293_safe.png,YIELD,R1-2-36,84.9,534.5,5.0985,0.5794,0.3997,SAFE,SAFE_TARGET,YES,0.2697,4.6988,33.5163605,-80.8658667,6.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:09:00
yield_802_safe.png,YIELD,R1-2-36,83.6,401.7,5.2533,0.5778,0.4012,SAFE,SAFE_TARGET,YES,0.3352,4.8521,33.5163605,-80.8658667,6.1,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:09:03
stop_727_safe.png,STOP,R1-1-36,631.832,344.18,14.8019,0.4529,0.2957,SAFE,SAFE_TARGET,YES,0.2933,0.4444,33.5156857,-80.8648867,1.8,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:10:54
stop_193_safe.png,STOP,R1-1-36,403.197,201.438,12.1748,0.459,0.2928,SAFE,SAFE_TARGET,YES,0.0056,0.316,33.5156857,-80.8648867,1.8,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:10:50
stop_935_safe.png,STOP,R1-1-36,539.648,232.539,12.9922,0.4567,0.2939,SAFE,SAFE_TARGET,YES,0.1038,0.3557,33.5156857,-80.8648867,1.8,TYPE III PRISM HIGH INTENSITY,2025-07-27 18:10:56
